time[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],xf[ft],yf[ft],zf[ft],e0,ex,ey,ez
  1.700000000000e-01,  3.806093663212e+01,  0.000000000000e+00,  4.814549063536e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  7.396068196478e+00,  0.000000000000e+00, -1.995745460312e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  1.800000000000e-01,  3.752795230688e+01,  0.000000000000e+00,  5.066609805406e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  7.774000831829e+00,  0.000000000000e+00, -1.995251379995e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  1.900000000000e-01,  3.700884119121e+01,  0.000000000000e+00,  5.316033635430e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  8.146673481154e+00,  0.000000000000e+00, -1.994732226241e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.000000000000e-01,  3.650302957268e+01,  0.000000000000e+00,  5.562912768872e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  8.514221982179e+00,  0.000000000000e+00, -1.994188258084e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.100000000000e-01,  3.600997368872e+01,  0.000000000000e+00,  5.807333849467e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  8.876776586926e+00,  0.000000000000e+00, -1.993619725617e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.200000000000e-01,  3.552915780493e+01,  0.000000000000e+00,  6.049378292572e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  9.234462251466e+00,  0.000000000000e+00, -1.993026870530e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.300000000000e-01,  3.506009244106e+01,  0.000000000000e+00,  6.289122602560e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  9.587398907221e+00,  0.000000000000e+00, -1.992409926624e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.400000000000e-01,  3.460231273158e+01,  0.000000000000e+00,  6.526638666777e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  9.935701715195e+00,  0.000000000000e+00, -1.991769120280e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.500000000000e-01,  3.415537690917e+01,  0.000000000000e+00,  6.761994028152e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.027948130445e+01,  0.000000000000e+00, -1.991104670909e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.600000000000e-01,  3.371886490045e+01,  0.000000000000e+00,  6.995252138345e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.061884399595e+01,  0.000000000000e+00, -1.990416791378e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
